Year,SongTitle,IntroLength,SongLength,Ranking50,Genre,Language,Ranking
2019,Sunflower,26,158,0,Hiphop,English,2
2019,Without Me,13,202,0,Pop,English,3
2019,bad guy,13,194,0,Pop,English,4
2019,Wow.,8,150,0,Hiphop,English,5
2019,Happier,0,214,0,Pop,English,6
2019,7 rings,13,179,0,Pop,English,7
2019,Talk (feat. Disclosure),27,198,0,RnB/Soul,English,8
2019,SICKO MODE,27,313,0,Hiphop,English,9
2019,Sucker,0,181,0,Pop,English,10
2019,High Hopes,10,191,0,Pop,English,11
2019,"thank u, next",7,207,0,RnB/Soul,English,12
2019,Truth Hurts,5,173,0,Pop,English,13
2019,Dancing With A Stranger,7,171,0,Pop,English,14
2019,Senorita,14,191,0,LatinPop,English,15
2019,I Don't Care,4,220,0,Pop,English,16
2019,"Eastside (with Halsey, Benny Blanco)",9,174,0,Pop,English,17
2019,Going Bad (feat. Drake),10,181,0,Hiphop,English,18
2019,Shallow,14,216,0,Pop,English,19
2019,Better,18,229,0,RnB/Soul,English,20
2019,No Guidance (feat. Drake),11,261,0,Hiphop,English,21
2019,Girls Like You (feat. Cardi B),6,236,0,Pop,English,22
2019,Sweet but Pyscho,1,187,0,Pop,English,23
2019,Suge,6,163,0,Hiphop,English,24
2019,MIDDLE CHILD,7,214,0,Hiphop,English,25
2019,Drip Too Hard (Lil Baby),7,146,0,Hiphop,English,26
2019,Someone You Loved,8,182,0,Pop,English,27
2019,Ransom,9,131,0,Hiphop,English,28
2019,If I Can't Have You,2,191,0,Pop,English,29
2019,Goodbyes,14,175,0,Hiphop,English,30
2019,ZEZE (feat. Travis Scott),8,229,0,Hiphop,English,31
2019,Better Now,11,231,0,Hiphop,English,32
2019,Youngblood,0,203,0,Pop,English,33
2019,Money In The Grave,15,205,0,Hiphop,English,34
2019,Speechless,1,213,0,Pop,English,35
2019,break up with your girlfriend,5,190,0,Pop,English,36
2019,Please Me,3,201,0,RnB/Soul,English,37
2019,Money,2,184,0,Hiphop,English,38
2019,You Need To Calm Down,10,171,0,Pop,English,39
2019,Panini,12,115,0,Hiphop,English,40
2019,Look Back at It,20,179,0,Hiphop,English,41
2019,a lot,25,289,0,Hiphop,English,42
2019,ME!,0,193,0,Pop,English,43
2019,MIA(feat. Drake),9,210,0,LatinPop,Spanish,44
2019,Pop Out(feat. Lil Tjay),9,167,0,Hiphop,English,45
2019,Beautiful Crazy,9,193,0,Country,English,46
2019,Thotiana,17,129,0,Hiphop,English,47
